id,title,orchestra,singer,style,year,decade,duration_seconds,file_path,tags,notes,bpm,key,energy,danceability,album,filename
ec5aa244-9e4a-5e24-b39b-d9f01174be31,Soy El Cantor De La Orquesta,Carlos Di Sarli,Jorge Durán,tango,1945.0,1940s,199.07,data/raw/vol-03 la fiesta de buenos aires/08 soy el cantor de la orquesta.mp3,,,122.4867172241211,G,0.0067093078978359,0.86583012342453,vol-03 la fiesta de buenos aires,08 soy el cantor de la orquesta.mp3
93782bb7-e6b3-5478-9980-6caca41f23c3,Otra Vez Carnaval,Carlos Di Sarli,Jorge Durán,tango,1947.0,1940s,168.09,data/raw/vol-30 la fiesta de buenos aires/14 otra vez carnaval.mp3,,,122.7562026977539,F,0.0082930158823728,1.0176581144332886,vol-30 la fiesta de buenos aires,14 otra vez carnaval.mp3
d1e80a4c-70b1-552e-9c19-08e47b2803bc,Duelo Criollo,Carlos Di Sarli,Jorge Durán,tango,1946.0,1940s,166.13,data/raw/vol-40 la fiesta de buenos aires/29 duelo criollo.mp3,,,117.8782958984375,A,0.0087854573503136,0.9622968435287476,vol-40 la fiesta de buenos aires,29 duelo criollo.mp3
604339d8-123c-5e13-997e-1152e3bfde8d,Adios Te Vas,Carlos Di Sarli,Roberto Rufino,tango,1943.0,1940s,152.22,data/raw/vol-31 la fiesta de buenos aires/18 adios te vas.mp3,,,119.48339080810548,G,0.0048520993441343,0.9241657257080078,vol-31 la fiesta de buenos aires,18 adios te vas.mp3
88271181-8ad4-5a9a-ad89-04278f31cc43,Charlemos,Carlos Di Sarli,Roberto Rufino,tango,1941.0,1940s,152.09,data/raw/vol-38 la fiesta de buenos aires/22 charlemos.mp3,,,129.71212768554688,C#,0.0076794833876192,1.0113866329193115,vol-38 la fiesta de buenos aires,22 charlemos.mp3
a8f09f8d-6b66-5483-9762-92af44ce408c,Lo Mismo Que Antes,Carlos Di Sarli,Roberto Rufino,tango,1941.0,1940s,160.36,data/raw/vol-31 la fiesta de buenos aires/17 lo mismo que antes.mp3,,,123.08533477783205,B,0.0063790241256356,0.9512381553649902,vol-31 la fiesta de buenos aires,17 lo mismo que antes.mp3
835d4c18-561f-5d32-b57a-a9090e533c3c,Anselmo Acuña,Carlos Di Sarli,Roberto Rufino,tango,1943.0,1940s,195.6,data/raw/vol-21 la fiesta de buenos aires/23 anselmo acuña.mp3,,,119.71672821044922,C#,0.0057932673953473,0.9844614863395692,vol-21 la fiesta de buenos aires,23 anselmo acuña.mp3
c325d64a-6fc5-5445-b8e8-c57b5d47898b,Cosas Olvidadas,Carlos Di Sarli,Roberto Rufino,tango,1940.0,1940s,145.28,data/raw/vol-34 la fiesta de buenos aires/24 cosas olvidadas.mp3,,,140.0244903564453,G,0.0062994677573442,0.9418270587921144,vol-34 la fiesta de buenos aires,24 cosas olvidadas.mp3
a64825a1-9942-5196-8d30-8898d1be0a09,Tarareando,Carlos Di Sarli,Roberto Rufino,tango,1942.0,1940s,151.77,data/raw/vol-38 la fiesta de buenos aires/21 tarareando.mp3,,,123.03050231933594,D,0.0058633554726839,0.9121727347373962,vol-38 la fiesta de buenos aires,21 tarareando.mp3
ad517c7d-f179-5337-8015-857288edc8e6,Como Has Cambiado Pebeta,Enrique Rodriguez,Armando Moreno,tango,1942.0,1940s,157.39,data/raw/vol-24 la fiesta de buenos aires/07 como has cambiado pebeta.mp3,,,125.84849548339844,A,0.005518740043044,1.072271466255188,vol-24 la fiesta de buenos aires,07 como has cambiado pebeta.mp3
